model,condition,dataset,n,parse_rate,n_joined,mean_verbalized_conf,auroc_verbalized
huatuo,ft_pathvqa,pathvqa,2060,0.0,0,,
huatuo,ft_slake_en,slake_en,357,1.0,357,0.7386554621848741,0.46476761619190404
huatuo,ft_vqa_rad,vqa_rad,122,1.0,122,0.9163934426229509,0.6368181818181818
huatuo,zero_shot,pathvqa,2060,1.0,2060,0.9428398058252425,0.5445328657494829
huatuo,zero_shot,slake_en,357,1.0,357,0.9350140056022409,0.6440187313750532
huatuo,zero_shot,vqa_rad,122,1.0,122,0.9368852459016392,0.525
internvl,ft_pathvqa,pathvqa,2060,0.0,0,,
internvl,ft_slake_en,slake_en,357,0.0336,12,1.0,0.6285714285714286
internvl,ft_vqa_rad,vqa_rad,122,0.0082,1,1.0,
internvl,zero_shot,pathvqa,2060,0.9942,2048,0.9623388671875001,0.4706654464585576
internvl,zero_shot,slake_en,357,0.9972,356,0.9651685393258428,0.5972540879128884
internvl,zero_shot,vqa_rad,122,0.9836,120,0.9412500000000001,0.6100875868317729
llavaov,ft_pathvqa,pathvqa,2060,0.0,0,,
llavaov,ft_slake_en,slake_en,357,0.3866,138,0.9963768115942029,0.3962432915921288
llavaov,ft_vqa_rad,vqa_rad,122,0.5082,62,0.9016129032258065,0.5227629513343799
llavaov,zero_shot,pathvqa,2060,0.8015,1651,0.9862507571168988,0.5216923029783062
llavaov,zero_shot,slake_en,357,0.5098,182,0.9467032967032968,0.39390243902439026
llavaov,zero_shot,vqa_rad,122,0.4672,57,0.9859649122807018,0.5037037037037038
medgemma,ft_pathvqa,pathvqa,2060,0.0,0,,
medgemma,ft_slake_en,slake_en,357,0.0,0,,
medgemma,ft_vqa_rad,vqa_rad,122,0.7377,90,0.8748888888888887,0.6728571428571428
medgemma,zero_shot,pathvqa,2060,1.0,2060,0.9949029126213592,0.4428893923646773
medgemma,zero_shot,slake_en,357,1.0,357,0.9952380952380953,0.4682443365695793
medgemma,zero_shot,vqa_rad,122,1.0,122,0.9938524590163934,0.570855614973262
qwen25vl,ft_pathvqa,pathvqa,2060,0.0,0,,
qwen25vl,ft_slake_en,slake_en,357,0.0924,33,0.9484848484848484,0.7283950617283951
qwen25vl,ft_vqa_rad,vqa_rad,122,1.0,122,0.8640983606557378,0.6002966258806081
qwen25vl,zero_shot,pathvqa,2060,1.0,2060,0.9388106796116503,0.5223520339657568
qwen25vl,zero_shot,slake_en,357,1.0,357,0.9305322128851542,0.6870762893675448
qwen25vl,zero_shot,vqa_rad,122,1.0,122,0.9422131147540983,0.5325536062378168
smolvlm,ft_pathvqa,pathvqa,2060,0.3675,757,0.6397622192866579,0.5406107862248213
smolvlm,ft_slake_en,slake_en,357,0.0,0,,
smolvlm,ft_vqa_rad,vqa_rad,122,0.0492,6,0.9,0.25
smolvlm,zero_shot,pathvqa,2060,0.0024,5,0.19000000000000003,0.8333333333333333
smolvlm,zero_shot,slake_en,357,0.0,0,,
smolvlm,zero_shot,vqa_rad,122,0.0246,3,0.06333333333333334,1.0
